FSC	SSC	FL1	FL3	FL4
0	1245	2053	2244	0
732	971	2237	0	0
761	1405	1759	2366	0
479	1247	2044	2262	0
0	1273	1775	2443	0
1644	2092	2377	2591	0
412	1152	1697	2025	0
1100	1620	0	2233	0
0	980	1705	2501	0
439	1081	0	0	0
1891	2242	0	2253	0
690	1801	0	2744	0
121	1809	2116	2530	0
0	1053	680	0	0
1584	1941	0	2569	0
0	1632	1510	2435	0
0	1001	0	2525	0
0	1558	2872	2332	0
0	1210	2001	2340	0
93	1531	1734	2015	0
352	1249	0	2385	0
2902	2872	1905	2699	0
0	960	0	1995	0
317	1373	2148	2211	0
0	1661	1617	2508	0
278	1209	0	0	0
724	1263	1565	1659	0
0	1529	1536	2434	0
3	939	1651	2085	0
153	1511	2085	2535	0
422	1164	1593	2517	0
18	1494	0	2375	0
0	1277	1935	2123	0
388	1044	1904	2416	0
1009	1898	1320	2318	0
702	1370	2139	2281	0
824	1555	0	2423	0
1183	1223	0	2398	0
1236	2172	2668	2390	0
144	1536	1525	2546	0
121	2033	1792	2193	0
0	1519	1922	0	0
867	1706	0	2271	0
914	1155	2642	2332	0
0	1042	1779	2203	0
1051	1387	2946	2626	0
1141	1505	0	731	0
316	1450	0	2133	0
0	1054	1874	2350	0
0	1615	1730	0	0
437	1280	0	2124	0
0	1003	1073	2451	0
597	1131	1655	2411	0
388	1223	1167	2432	0
302	1663	1597	2455	0
0	1519	1647	2420	0
439	1133	1413	2249	0
0	1447	1598	2261	0
1178	1741	2242	2702	0
0	1399	1909	2242	0
910	981	3007	2634	0
2436	1890	2219	0	0
544	1029	1884	2231	0
1037	1650	3016	2679	0
867	1204	1879	2227	0
0	1199	1697	2471	0
763	1414	612	2485	0
0	1292	1752	2423	0
928	1765	1897	2019	0
219	1608	0	2224	0
357	1360	538	2211	0
1140	1709	1411	2261	0
472	1170	1877	2280	0
0	1521	1526	2440	0
1421	1594	3020	2447	0
410	1695	0	2105	0
0	1353	0	2197	0
643	1242	1578	2366	0
0	1152	1496	2658	0
54	1157	1788	2393	0
90	1119	838	2430	0
1013	1497	0	2443	0
0	1567	0	2460	0
1137	1925	3240	2601	0
1111	1444	0	2334	0
655	2059	1968	2556	0
549	1162	1803	2271	0
0	1877	0	0	0
0	1168	1578	2353	0
212	989	0	2479	0
35	1134	336	2272	0
692	1214	1545	2427	0
512	1367	0	1574	0
357	1489	1970	2413	0
885	1209	1957	2630	0
734	1189	1712	2571	0
272	1165	2024	2529	0
102	1160	1559	2485	0
351	1557	1534	2367	0
1860	1848	2364	2547	0
642	1141	0	2520	0
472	1335	1429	0	0
0	2065	1803	2221	0
0	2140	1636	2443	0
176	1466	1782	2345	0
705	1484	1626	2584	0
2207	2533	1000	2367	0
924	1260	1804	2442	0
485	1306	1908	2327	0
0	1270	1806	2529	0
1035	1061	0	2476	0
708	1627	0	2479	0
539	1597	680	2625	0
247	1051	375	2535	0
